seed,vectors_indexed,recall_unc,recall_pq,L_route,L_score,check,dataset
42,7000000,88.259,80.946,11.741,7.313000000000002,0.0,T2I
42,8000000,88.405,80.78,11.594999999999999,7.625,0.0,T2I
42,9000000,88.508,80.652,11.492000000000004,7.8559999999999945,0.0,T2I
42,10000000,88.61,80.68,11.39,7.929999999999993,0.0,T2I
123,1000000,86.397,81.59,13.602999999999994,4.807000000000002,0.0,T2I
123,2000000,87.011,81.271,12.989000000000004,5.739999999999995,0.0,T2I
123,3000000,87.439,81.087,12.561000000000007,6.35199999999999,0.0,T2I
123,4000000,87.729,81.107,12.271,6.622,0.0,T2I
123,5000000,87.965,81.018,12.034999999999997,6.947000000000003,0.0,T2I
123,6000000,88.085,80.795,11.915000000000006,7.289999999999992,0.0,T2I
123,7000000,88.194,80.713,11.805999999999997,7.481000000000009,0.0,T2I
123,8000000,88.319,80.603,11.680999999999997,7.716000000000008,0.0,T2I
123,9000000,88.436,80.557,11.563999999999993,7.879000000000005,0.0,T2I
123,10000000,88.569,80.592,11.430999999999997,7.977000000000004,0.0,T2I
7777,1000000,86.355,81.426,13.644999999999996,4.929000000000002,0.0,T2I
7777,2000000,86.848,80.986,13.152000000000001,5.861999999999995,0.0,T2I
7777,3000000,87.305,81.109,12.694999999999993,6.196000000000012,0.0,T2I
7777,4000000,87.578,81.02,12.421999999999997,6.558000000000007,0.0,T2I
7777,5000000,87.771,80.891,12.229,6.8799999999999955,0.0,T2I
7777,6000000,87.953,80.732,12.046999999999997,7.221000000000004,0.0,T2I
7777,7000000,88.076,80.703,11.924000000000007,7.3729999999999905,0.0,T2I
7777,8000000,88.21,80.649,11.790000000000006,7.560999999999993,0.0,T2I
7777,9000000,88.277,80.529,11.722999999999999,7.748000000000005,0.0,T2I
7777,10000000,88.409,80.501,11.590999999999994,7.908000000000001,0.0,T2I
